Player,Draft_Express,CBS,CBS_2,CBS_3,BleacherReport,SI
Karl-Anthony Towns,1,1,1,1,1,1
Jahlil Okafor,2,2,2,2,2,2
Emmanuel Mudiay,7,6,6,6,7,6
D'Angelo Russell,3,3,4,4,3,3
Kristaps Porzingis,6,5,3,3,4,4
Mario Hezonja,4,7,8,7,6,7
Justise Winslow,5,4,5,5,5,5
Willie Cauley-Stein,13,9,7,11,9,11
Stanley Johnson,8,8,12,8,8,10
Myles Turner,12,10,13,12,11,12
Bobby Portis,17,15,17,20,17,15
Devin Booker,10,11,9,13,13,8
Frank Kaminsky,9,12,10,9,12,9
Kelly Oubre Jr.,15,13,14,10,21,16
Trey Lyles,11,17,20,15,15,17
Jerian Grant,19,19,18,18,20,21
Tyus Jones,18,18,19,21,18,27
Kevon Looney,27,21,15,17,23,19
Cameron Payne,14,14,11,14,14,14
Justin Anderson,26,24,21,24,27,23
Rondae Hollis-Jefferson,16,20,26,25,19,20
Sam Dekker,20,16,16,16,10,13
R.J. Hunter,23,23,25,23,17,18
Montrezl Harrell,24,25,23,19,26,25
Delon Wright,21,22,24,22,25,24
Terry Rozier,30,30,29,,24,
Jordan Mickey,,,28,,,
Chris McCullough,29,28,30,28,,30
Rashad Vaughn,22,27,22,26,22,22
Robert Upshaw,,,,,,
Guillermo Hernangomez,,26,,,,26
Anthony Brown,,,,27,,
Norman Powell,,,,,,
Jarell Martin,25,,,,,29
Christian Wood,,29,27,30,30,
Michael Frazier II,,,,,,
Olivier Hanlan,,,,,,
Nikola Milutinov,,,,,,
Jonathan Holmes,,,,,,
Arturas Gudaitis,,,,,28,
Andrew Harrison,,,,,,
Cliff Alexander,28,,,29,,28
Dakari Johnson,,,,,,
Rakeem Christmas,,,,,29,
Cedi Osman,,,,,,
Joseph Young,,,,,,
Mouhammadou Jaiteh,,,,,,
Michael Qualls,,,,,,
Josh Richardson,,,,,,
Richaun Holmes,,,,,,
Larry Nance Jr.,,,,,,
J.P. Tokoto,,,,,,
Alan Williams,,,,,,
Vince Hunter,,,,,,
Quinn Cook,,,,,,
Aaron White,,,,,,
Daniel Diez,,,,,,
Tyler Harvey,,,,,,
Pat Connaughton,,,,,,
Aaron Harrison,,,,,,
