"Player","Draft_Express","CBS","CBS_2","CBS_3","BleacherReport","SI"
"Karl-Anthony Towns",1,1,1,1,1,1
"Jahlil Okafor",2,2,2,2,2,2
"Emmanuel Mudiay",7,6,6,6,7,6
"D'Angelo Russell",3,3,4,4,3,3
"Kristaps Porzingis",6,5,3,3,4,4
"Mario Hezonja",4,7,8,7,6,7
"Justise Winslow",5,4,5,5,5,5
"Willie Cauley-Stein",13,9,7,11,9,11
"Stanley Johnson",8,8,12,8,8,10
"Myles Turner",12,10,13,12,11,12
"Bobby Portis",17,15,17,20,17,15
"Devin Booker",10,11,9,13,13,8
"Frank Kaminsky",9,12,10,9,12,9
"Kelly Oubre Jr.",15,13,14,10,21,16
"Trey Lyles",11,17,20,15,15,17
"Jerian Grant",19,19,18,18,20,21
"Tyus Jones",18,18,19,21,18,27
"Kevon Looney",27,21,15,17,23,19
"Cameron Payne",14,14,11,14,14,14
"Justin Anderson",26,24,21,24,27,23
"Rondae Hollis-Jefferson",16,20,26,25,19,20
"Sam Dekker",20,16,16,16,10,13
"R.J. Hunter",23,23,25,23,17,18
"Montrezl Harrell",24,25,23,19,26,25
"Delon Wright",21,22,24,22,25,24
"Terry Rozier",30,30,29,NA,24,NA
"Jordan Mickey",NA,NA,28,NA,NA,NA
"Chris McCullough",29,28,30,28,NA,30
"Rashad Vaughn",22,27,22,26,22,22
"Robert Upshaw",NA,NA,NA,NA,NA,NA
"Guillermo Hernangomez",NA,26,NA,NA,NA,26
"Anthony Brown",NA,NA,NA,27,NA,NA
"Norman Powell",NA,NA,NA,NA,NA,NA
"Jarell Martin",25,NA,NA,NA,NA,29
"Christian Wood",NA,29,27,30,30,NA
"Michael Frazier II",NA,NA,NA,NA,NA,NA
"Olivier Hanlan",NA,NA,NA,NA,NA,NA
"Nikola Milutinov",NA,NA,NA,NA,NA,NA
"Jonathan Holmes",NA,NA,NA,NA,NA,NA
"Arturas Gudaitis",NA,NA,NA,NA,28,NA
"Andrew Harrison",NA,NA,NA,NA,NA,NA
"Cliff Alexander",28,NA,NA,29,NA,28
"Dakari Johnson",NA,NA,NA,NA,NA,NA
"Rakeem Christmas",NA,NA,NA,NA,29,NA
"Cedi Osman",NA,NA,NA,NA,NA,NA
"Joseph Young",NA,NA,NA,NA,NA,NA
"Mouhammadou Jaiteh",NA,NA,NA,NA,NA,NA
"Michael Qualls",NA,NA,NA,NA,NA,NA
"Josh Richardson",NA,NA,NA,NA,NA,NA
"Richaun Holmes",NA,NA,NA,NA,NA,NA
"Larry Nance Jr.",NA,NA,NA,NA,NA,NA
"J.P. Tokoto",NA,NA,NA,NA,NA,NA
"Alan Williams",NA,NA,NA,NA,NA,NA
"Vince Hunter",NA,NA,NA,NA,NA,NA
"Quinn Cook",NA,NA,NA,NA,NA,NA
"Aaron White",NA,NA,NA,NA,NA,NA
"Daniel Diez",NA,NA,NA,NA,NA,NA
"Tyler Harvey",NA,NA,NA,NA,NA,NA
"Pat Connaughton",NA,NA,NA,NA,NA,NA
"Aaron Harrison",NA,NA,NA,NA,NA,NA
